Description,Count,Sum
Time spent on Cassandra one_kb_60_false write operations,3862.0,59.1953106909059
Time spent on Cassandra ten_kb_60_false write operations,1015.0,58.716981710866094
Time spent on Cassandra twenty_kb_60_false write operations,979.0,57.18963699648157
Time spent on Cassandra fifty_kb_60_false write operations,2200.0,46.95593929104507
Time spent on Cassandra one_hundred_kb_60_false write operations,978.0,46.1239734957926
Time spent on Cassandra one_kb_60_true write operations,3854.0,58.96531339455396
Time spent on Cassandra ten_kb_60_true write operations,956.0,58.441297294571996
Time spent on Cassandra twenty_kb_60_true write operations,960.0,57.50277000898495
Time spent on Cassandra fifty_kb_60_true write operations,930.0,53.88394030183554
Time spent on Cassandra one_hundred_kb_60_true write operations,978.0,45.7959955977276
